Milliseconds,Latitude,Longitude,Altitude,Speed,Speed3D,TS,GpsAccuracy,GpsFix
0,48.8639489,2.632485,81.937,0.472,0.44,1547384543874000,236,3
55,48.8639488,2.6324852,81.94,0.42,0.48,1547384543929000,236,3
110,48.8639485,2.6324855,81.931,0.534,0.43,1547384543984000,236,3
165,48.8639482,2.6324858,81.931,0.629,0.54,1547384544039000,236,3
220,48.8639476,2.6324864,81.918,0.872,0.64,1547384544094000,236,3
275,48.8639473,2.632486,81.914,0.632,0.88,1547384544149000,236,3
330,48.8639469,2.6324862,81.879,0.648,0.64,1547384544204000,236,3
385,48.8639466,2.6324866,81.873,0.714,0.66,1547384544259000,236,3
440,48.8639462,2.6324866,81.893,0.743,0.73,1547384544314000,236,3
495,48.8639457,2.6324863,81.901,0.828,0.75,1547384544369000,236,3
550,48.8639452,2.6324863,81.904,0.886,0.83,1547384544424000,236,3
605,48.8639447,2.6324864,81.884,0.893,0.89,1547384544479000,236,3
660,48.8639443,2.6324864,81.864,0.818,0.9,1547384544534000,236,3
715,48.863944,2.6324865,81.854,0.741,0.83,1547384544589000,236,3
770,48.8639438,2.6324865,81.869,0.685,0.75,1547384544644000,236,3
825,48.8639436,2.6324866,81.871,0.639,0.69,1547384544699000,236,3
880,48.8639434,2.6324865,81.871,0.552,0.65,1547384544754000,236,3
935,48.8639432,2.6324866,81.895,0.52,0.56,1547384544809000,236,3
990,48.8639431,2.6324867,81.941,0.563,0.53,1547384544864000,236,3
1045,48.8639428,2.6324865,81.973,0.57,0.57,1547384544919000,236,3
1100,48.8639427,2.6324864,81.996,0.483,0.58,1547384544974000,236,3
1155,48.8639427,2.6324866,82.013,0.403,0.49,1547384545029000,236,3
1210,48.8639427,2.6324866,82.037,0.343,0.41,1547384545084000,236,3
1265,48.8639426,2.6324867,82.015,0.269,0.35,1547384545139000,236,3
1320,48.8639424,2.6324867,82.026,0.317,0.28,1547384545194000,236,3
1375,48.8639423,2.6324869,82.057,0.35,0.32,1547384545249000,236,3
1430,48.8639423,2.6324867,82.053,0.223,0.35,1547384545304000,236,3
1485,48.8639421,2.632487,82.074,0.376,0.23,1547384545359000,236,3
1540,48.863942,2.6324875,82.091,0.489,0.38,1547384545414000,236,3
1595,48.8639419,2.632488,82.097,0.595,0.49,1547384545469000,236,3
1650,48.8639417,2.6324882,82.049,0.447,0.6,1547384545524000,236,3
1705,48.8639417,2.6324882,82.041,0.247,0.45,1547384545579000,236,3
1760,48.8639417,2.6324881,82.053,0.13,0.25,1547384545634000,236,3
1815,48.8639413,2.6324883,82.062,0.287,0.14,1547384545689000,236,3
1870,48.8639409,2.6324886,82.049,0.513,0.29,1547384545744000,236,3
1925,48.8639404,2.6324886,81.99,0.536,0.51,1547384545799000,236,3
1980,48.8639403,2.6324887,81.975,0.368,0.54,1547384545854000,236,3
2035,48.8639405,2.6324889,81.983,0.195,0.38,1547384545909000,236,3
2090,48.8639405,2.6324889,81.997,0.126,0.21,1547384545964000,236,3
2145,48.8639404,2.6324888,81.98,0.069,0.14,1547384546019000,236,3
2200,48.8639403,2.6324884,81.98,0.241,0.1,1547384546074000,236,3
2255,48.8639403,2.6324882,82.043,0.288,0.25,1547384546129000,236,3
2310,48.8639404,2.6324883,82.031,0.081,0.29,1547384546184000,236,3
2365,48.8639405,2.6324884,82.01,0.094,0.09,1547384546239000,236,3
2420,48.8639406,2.6324881,82.03,0.145,0.11,1547384546294000,236,3
2475,48.8639401,2.6324879,82.028,0.289,0.15,1547384546349000,236,3
2530,48.8639401,2.6324879,81.991,0.154,0.29,1547384546404000,236,3
2585,48.8639402,2.6324882,82.016,0.042,0.16,1547384546459000,236,3
2640,48.8639399,2.6324883,81.996,0.096,0.04,1547384546514000,236,3
2695,48.8639392,2.6324884,81.983,0.425,0.1,1547384546569000,236,3
2750,48.8639387,2.6324885,81.967,0.536,0.43,1547384546624000,236,3
2805,48.8639386,2.6324887,82.025,0.508,0.54,1547384546679000,236,3
2860,48.8639383,2.6324889,82.097,0.647,0.51,1547384546734000,236,3
2915,48.863938,2.6324894,82.163,0.822,0.65,1547384546789000,236,3
2970,48.8639376,2.6324895,82.158,0.759,0.83,1547384546844000,247,3
3025,48.8639371,2.6324896,82.203,0.926,0.76,1547384546899000,247,3
3080,48.8639364,2.6324898,82.217,1.083,0.93,1547384546954000,247,3
3135,48.8639357,2.6324898,82.245,1.212,1.09,1547384547009000,247,3
3190,48.8639351,2.6324899,82.268,1.238,1.22,1547384547064000,247,3
3245,48.8639346,2.6324902,82.27,1.173,1.24,1547384547119000,247,3
3300,48.8639341,2.6324907,82.295,1.191,1.18,1547384547174000,247,3
3355,48.8639334,2.632491,82.331,1.251,1.2,1547384547229000,247,3
3410,48.8639326,2.6324913,82.333,1.357,1.26,1547384547284000,247,3
3465,48.863932,2.6324917,82.41,1.424,1.37,1547384547339000,247,3
3520,48.8639309,2.6324921,82.454,1.698,1.44,1547384547394000,247,3
3575,48.8639295,2.6324926,82.411,1.953,1.71,1547384547449000,247,3
3630,48.8639287,2.6324931,82.417,1.876,1.96,1547384547504000,247,3
3685,48.8639277,2.6324937,82.432,1.996,1.89,1547384547559000,247,3
3740,48.8639269,2.6324946,82.536,2.139,2.01,1547384547614000,247,3
3795,48.8639257,2.6324952,82.594,2.378,2.15,1547384547669000,247,3
3850,48.8639246,2.632496,82.664,2.477,2.39,1547384547724000,247,3
3905,48.8639236,2.6324965,82.653,2.355,2.5,1547384547779000,247,3
3960,48.8639227,2.6324969,82.64,2.161,2.37,1547384547834000,247,3
4015,48.8639218,2.6324973,82.66,2.024,2.18,1547384547889000,247,3
4070,48.8639209,2.6324976,82.655,1.912,2.04,1547384547944000,247,3
4125,48.8639198,2.6324976,82.664,1.968,1.93,1547384547999000,247,3
4180,48.8639188,2.632498,82.661,2.015,1.99,1547384548054000,247,3
4235,48.8639179,2.6324983,82.664,1.994,2.03,1547384548109000,247,3
4290,48.8639171,2.6324983,82.679,1.936,2.01,1547384548164000,247,3
4345,48.8639162,2.6324984,82.696,1.881,1.95,1547384548219000,247,3
4400,48.8639151,2.6324985,82.693,1.976,1.9,1547384548274000,247,3
4455,48.863914,2.6324987,82.687,2.057,1.99,1547384548329000,247,3
4510,48.8639129,2.632499,82.721,2.183,2.07,1547384548384000,247,3
4565,48.8639117,2.6324996,82.745,2.415,2.2,1547384548439000,247,3
4620,48.8639103,2.6325,82.741,2.544,2.43,1547384548494000,247,3
4675,48.863909,2.6325001,82.738,2.421,2.56,1547384548549000,247,3
4730,48.8639079,2.6325004,82.761,2.392,2.43,1547384548604000,247,3
4785,48.8639066,2.6325009,82.762,2.507,2.4,1547384548659000,247,3
4840,48.863905,2.6325013,82.775,2.715,2.52,1547384548714000,247,3
4895,48.8639034,2.6325015,82.72,2.801,2.72,1547384548769000,247,3
4950,48.8639017,2.6325016,82.695,2.876,2.81,1547384548824000,247,3
