Milliseconds,Temp
-1000,0
0,0
1000,25
2000,25
3000,25
4000,25
5000,25
6000,25
7000,25
8000,25
9000,25
10000,25
11000,25
12000,25
13000,25
14000,25
15000,25
16000,25
17000,25
18000,25
19000,25
20000,25
21000,25
22000,25
23000,25
24000,25
25000,25
26000,25
27000,25
28000,25
29000,25
30000,25
31000,25
32000,25
33000,25
34000,25
35000,25
36000,25
37000,25
38000,25
39000,25
40000,25
41000,25
42000,25
43000,25
44000,25
45000,25
46000,25
47000,25
48000,25
49000,25
50000,25
51000,25
52000,25
53000,25
54000,25
55000,25
56000,25
